<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>, <Volume>, <Volty>
1/1/2020,17:02:00,3237.00,3238.00,3234.75,3234.75,3803,3803.00,0.00
1/1/2020,17:04:00,3234.75,3236.25,3234.25,3236.00,1433,1433.00,0.00
1/1/2020,17:06:00,3236.00,3236.00,3235.25,3235.25,524,524.00,0.00
1/1/2020,17:08:00,3235.25,3235.75,3235.25,3235.50,517,517.00,0.00
1/1/2020,17:10:00,3235.75,3238.00,3235.75,3237.75,849,849.00,0.00
1/1/2020,17:12:00,3237.75,3239.00,3237.75,3238.50,1392,1392.00,0.00
1/1/2020,17:14:00,3238.50,3239.00,3238.25,3239.00,380,380.00,0.75
1/1/2020,17:16:00,3239.00,3239.75,3238.50,3239.00,757,757.00,0.79
1/1/2020,17:18:00,3239.25,3239.25,3238.75,3238.75,354,354.00,0.77
1/1/2020,17:20:00,3238.75,3239.75,3238.75,3239.75,397,397.00,0.78
1/1/2020,17:22:00,3239.50,3240.50,3239.50,3240.25,986,986.00,0.80
1/1/2020,17:24:00,3240.25,3240.25,3239.25,3239.75,361,361.00,0.81
1/1/2020,17:26:00,3239.50,3239.50,3239.00,3239.25,257,257.00,0.81
1/1/2020,17:28:00,3239.25,3240.25,3239.25,3240.00,376,376.00,0.82
1/1/2020,17:30:00,3240.00,3240.75,3240.00,3240.25,213,213.00,0.82
1/1/2020,17:32:00,3240.50,3240.50,3239.75,3240.00,378,378.00,0.81
1/1/2020,17:34:00,3240.00,3240.25,3239.75,3239.75,97,97.00,0.79
1/1/2020,17:36:00,3239.75,3239.75,3239.50,3239.50,183,183.00,0.75
1/1/2020,17:38:00,3239.50,3239.75,3238.50,3239.00,507,507.00,0.79
1/1/2020,17:40:00,3239.00,3239.50,3238.50,3238.75,414,414.00,0.80
1/1/2020,17:42:00,3238.75,3238.75,3238.25,3238.75,295,295.00,0.78
1/1/2020,17:44:00,3238.75,3238.75,3238.25,3238.75,177,177.00,0.76
1/1/2020,17:46:00,3238.50,3238.75,3238.25,3238.75,180,180.00,0.74
1/1/2020,17:48:00,3238.75,3239.00,3238.25,3239.00,251,251.00,0.74
1/1/2020,17:50:00,3239.00,3239.00,3238.50,3238.75,102,102.00,0.72
1/1/2020,17:52:00,3239.00,3239.00,3238.25,3238.50,168,168.00,0.73
1/1/2020,17:54:00,3238.25,3238.50,3237.75,3238.00,331,331.00,0.73
1/1/2020,17:56:00,3237.75,3238.00,3237.75,3237.75,212,212.00,0.69
1/1/2020,17:58:00,3237.75,3238.00,3237.50,3237.75,222,222.00,0.68
1/1/2020,18:00:00,3237.75,3237.75,3237.50,3237.50,110,110.00,0.65
1/1/2020,18:02:00,3237.75,3238.25,3237.50,3238.00,382,382.00,0.66
1/1/2020,18:04:00,3238.00,3238.25,3237.50,3237.75,424,424.00,0.66
1/1/2020,18:06:00,3237.50,3237.75,3237.25,3237.50,230,230.00,0.65
1/1/2020,18:08:00,3237.25,3237.50,3237.25,3237.50,241,241.00,0.62
1/1/2020,18:10:00,3237.25,3237.50,3237.00,3237.50,160,160.00,0.61
1/1/2020,18:12:00,3237.50,3237.50,3237.25,3237.25,170,170.00,0.59
1/1/2020,18:14:00,3237.50,3237.75,3237.25,3237.75,86,86.00,0.58
1/1/2020,18:16:00,3237.75,3237.75,3237.00,3237.50,209,209.00,0.59
1/1/2020,18:18:00,3237.50,3237.50,3237.25,3237.25,300,300.00,0.57
1/1/2020,18:20:00,3237.50,3237.75,3237.25,3237.75,119,119.00,0.56
1/1/2020,18:22:00,3237.75,3237.75,3237.50,3237.50,244,244.00,0.54
1/1/2020,18:24:00,3237.50,3237.75,3237.50,3237.50,124,124.00,0.52
1/1/2020,18:26:00,3237.50,3237.75,3237.25,3237.75,153,153.00,0.52
1/1/2020,18:28:00,3237.75,3238.00,3237.50,3237.75,149,149.00,0.52
1/1/2020,18:30:00,3237.75,3238.00,3237.75,3237.75,110,110.00,0.50
1/1/2020,18:32:00,3238.00,3238.50,3238.00,3238.50,221,221.00,0.52
1/1/2020,18:34:00,3238.50,3238.50,3238.25,3238.50,246,246.00,0.50
1/1/2020,18:36:00,3238.75,3238.75,3238.25,3238.50,109,109.00,0.50
1/1/2020,18:38:00,3238.50,3238.50,3238.25,3238.50,110,110.00,0.48
1/1/2020,18:40:00,3238.50,3238.75,3238.25,3238.50,75,75.00,0.48
1/1/2020,18:42:00,3238.50,3238.75,3238.25,3238.75,186,186.00,0.48
1/1/2020,18:44:00,3238.50,3239.00,3238.50,3238.75,160,160.00,0.48
1/1/2020,18:46:00,3238.75,3238.75,3238.50,3238.50,105,105.00,0.47
1/1/2020,18:48:00,3238.75,3238.75,3238.50,3238.50,40,40.00,0.45
1/1/2020,18:50:00,3238.75,3239.00,3238.50,3239.00,80,80.00,0.46
1/1/2020,18:52:00,3238.75,3239.25,3238.75,3239.25,91,91.00,0.46
1/1/2020,18:54:00,3239.25,3239.25,3239.00,3239.25,112,112.00,0.44
1/1/2020,18:56:00,3239.00,3239.25,3238.50,3238.50,145,145.00,0.47
1/1/2020,18:58:00,3238.50,3239.00,3238.50,3238.75,445,445.00,0.47
1/1/2020,19:00:00,3238.75,3239.00,3238.75,3238.75,52,52.00,0.45
1/1/2020,19:02:00,3239.00,3239.75,3239.00,3239.50,578,578.00,0.49
1/1/2020,19:04:00,3239.50,3240.00,3239.50,3240.00,457,457.00,0.49
1/1/2020,19:06:00,3240.00,3240.50,3239.75,3240.00,376,376.00,0.51
1/1/2020,19:08:00,3240.00,3240.00,3239.25,3239.25,527,527.00,0.53
1/1/2020,19:10:00,3239.25,3239.75,3239.25,3239.50,195,195.00,0.53
1/1/2020,19:12:00,3239.50,3239.50,3239.00,3239.25,120,120.00,0.52
1/1/2020,19:14:00,3239.25,3239.50,3239.00,3239.00,213,213.00,0.52
1/1/2020,19:16:00,3239.25,3239.50,3238.50,3238.50,591,591.00,0.56
1/1/2020,19:18:00,3238.50,3238.50,3237.25,3237.50,1077,1077.00,0.61
1/1/2020,19:20:00,3237.50,3237.50,3236.50,3236.75,1358,1358.00,0.63
1/1/2020,19:22:00,3236.75,3237.00,3236.00,3236.50,656,656.00,0.66
1/1/2020,19:24:00,3236.25,3237.50,3236.25,3237.50,526,526.00,0.70
1/1/2020,19:26:00,3237.25,3237.75,3237.25,3237.50,258,258.00,0.69
1/1/2020,19:28:00,3237.50,3237.50,3237.00,3237.25,347,347.00,0.67
